Image,Dice,IoU,Sensitivity,Specificity,Precision,F1_Score,TP,TN,FP,FN
TCGA_CS_4941_19960909_7.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_4941_19960909_18.tif,0.85,0.7391,0.85,0.9998,0.85,0.85,17,16361,3,3
TCGA_CS_4942_19970222_10.tif,0.9384,0.884,0.9816,0.9978,0.8989,0.9384,320,16022,36,6
TCGA_CS_4941_19960909_22.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_4941_19960909_11.tif,0.9224,0.856,0.8886,0.9991,0.9589,0.9224,327,16002,14,41
TCGA_CS_4941_19960909_21.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_5393_19990606_5.tif,0.0,0.0,0.0,1.0,1.0,0.0,0,16316,0,68
TCGA_CS_4944_20010208_14.tif,0.5243,0.3553,0.8017,0.9907,0.3896,0.5243,97,16111,152,24
TCGA_CS_5395_19981004_17.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_4944_20010208_17.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_4943_20000902_5.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_5396_20010302_11.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_4943_20000902_7.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_5395_19981004_13.tif,0.8843,0.7925,0.8802,0.9985,0.8884,0.8843,191,16143,24,26
TCGA_CS_4944_20010208_7.tif,0.8783,0.783,0.9889,0.9956,0.7899,0.8783,267,16043,71,3
TCGA_CS_4944_20010208_11.tif,0.8913,0.8039,0.9719,0.9817,0.823,0.8913,1279,14793,275,37
TCGA_CS_5393_19990606_18.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_4944_20010208_15.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_4944_20010208_19.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_5397_20010315_18.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_6186_20000601_11.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_5397_20010315_8.tif,0.0,0.0,0.0,1.0,1.0,0.0,0,16192,0,192
TCGA_CS_6186_20000601_21.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_6188_20010812_12.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_6666_20011109_25.tif,0.0,0.0,1.0,0.9972,0.0,0.0,0,16338,46,0
TCGA_CS_6666_20011109_17.tif,0.9252,0.8608,0.9092,0.9961,0.9418,0.9252,971,15256,60,97
TCGA_CS_6188_20010812_4.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_6188_20010812_19.tif,0.0,0.0,1.0,0.9993,0.0,0.0,0,16373,11,0
TCGA_CS_6290_20000917_14.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_6665_20010817_5.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_6188_20010812_2.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_CS_6665_20010817_12.tif,0.7756,0.6335,0.7149,0.998,0.8476,0.7756,178,16103,32,71
